author,date,text
BraveLion786,2020-02-29 05:09:55,b'RT @AskAnshul: Hindus are minority in 9 States/UTs:\n\n1. Lakshadweep\n2. Mizoram\n3. Nagaland\n4. Meghalaya\n5. Jammu &amp; Kashmir\n6. Arunachal Pra\xe2\x80\xa6'
vipulrpatel1980,2020-02-29 05:09:56,"b'RT @vivekagnihotri: Within 48 hrs after Trump left, all is well. What does it mean?\n\nRadical Islamists hate TRUMP &amp; MODI partnership becaus\xe2\x80\xa6'"
rajeevranjan85,2020-02-29 05:09:56,"b'RT @dpradhanbjp: Along with colleagues from @BJP4Odisha accompanied Hon. Home Minister Shri @AmitShah to Jagannath Temple, Puri and sought\xe2\x80\xa6'"
Sainath90520867,2020-02-29 05:09:56,b'RT @PanduGadu2_0: #50DaysOfBBSLN #MaSSMB &amp; #SarileruNeekevvaru Are Trending In India \xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xf0\x9f\x98\x8e\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\n\nSuperstar Fans Mass Started \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d https://t.co/tcX\xe2\x80\xa6'
areumdaunmi,2020-02-29 05:09:56,b'RT @darrxnn: what the fuck is wrong with the world'
InsideDetective,2020-02-29 05:09:56,b'RT @masudwalid: Bangladeshis are protesting against Indian government backed  Muslim Genocide in Delhi. We common Bangladeshis are always w\xe2\x80\xa6'
SumitSa49362148,2020-02-29 05:09:56,"b'RT @dpradhanbjp: Massive infrastructure projects and policy reforms in India like PM AWAS Yojana to provide housing to all, Har Ghar Jal Yo\xe2\x80\xa6'"
thefield_in,2020-02-29 05:09:57,b'#T20WorldCup #IndvsSL\n\nRadha Yadav finishes her spell with stellar figures of 4 for 23 \xe2\x80\x93 her best in T20Is \n\nSL: 84\xe2\x80\xa6 https://t.co/ZuauFDu02d'
JGiri13,2020-02-29 05:09:57,b'@TelanganaCMO @Babafasiuddin Great CM in india \xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xe2\x9c\x8a\xe2\x9c\x8a\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa\xf0\x9f\xa4\x9d\xf0\x9f\xa4\x9d\xf0\x9f\x99\x8f\xf0\x9f\x99\x8fKCR'
DynamiteXI,2020-02-29 05:09:57,b'It could have been more. It could have been lot lesser than this. But 242 is good total if India bowl well. Just ne\xe2\x80\xa6 https://t.co/WWqEKzHIWx'
shubh_ind,2020-02-29 05:09:57,"b'Make the most of this and report every hate monger out there, even if he/she is your family member.\n\nYou can atleas\xe2\x80\xa6 https://t.co/n6z4Tzj8ku'"
Rampras75107605,2020-02-29 05:09:57,b'@wrestlingwdeeb @Murphs56 @realNoluLove1 @WWE @JohnCena Yeah but still is  a house hold name in countries like indi\xe2\x80\xa6 https://t.co/695Ivum4Z1'
vijayfans28,2020-02-29 05:09:57,"b'RT @BahrainVMI: We Are Proud To make Awareness On Corona Virus \xf0\x9f\x98\xb6 Total 38+ Cases Of Corona Here in Bahrain \xf0\x9f\x98\xa3\nFace Masks Has No Stock , We I\xe2\x80\xa6'"
Vinothkumaar03,2020-02-29 05:09:57,"b""RT @PoojaPrasanna4: One of these 'actors', Faizan, died today because of his injuries, you hateful demon.  #Delhi"""
Sujit_K_Pradhan,2020-02-29 05:09:57,b'RT @socioskp: Death increased up to 41 at Delhi violence.'
praveengarg3,2020-02-29 05:09:57,"b'RT @abhijitmajumder: This is TMC\xe2\x80\x99s Firhad \xe2\x80\x98Bobby\xe2\x80\x99 Hakim, mayor of Kolkata. Man who once proudly told a foreign journalist, \xe2\x80\x9cLook, how we ha\xe2\x80\xa6'"
Kaurgeographer,2020-02-29 05:09:57,"b'RT @ttindia: As rioters set their two-storey house ablaze, Mohammad Idris Saifi and 10 family members ran up the steps to huddle on the roo\xe2\x80\xa6'"
MitziFetch,2020-02-29 05:09:58,"b'RT @jewish_activist: Bene Israel\nA Jewish ethnic group whose ancestors settled in areas around Mumbai, India. https://t.co/5SEimwy4Ai'"
MaheshJ95622388,2020-02-29 05:09:58,b'RT @prabhatkumar76: @Aakar__Patel No Remorse For Instigating Muslims which resulted in Delhi Riots and Many Other Violent Episode across In\xe2\x80\xa6'
Muhammaad_Khan_,2020-02-29 05:09:58,"b'RT @ianbremmer: Former Pakistani Foreign Minister @HinaRKhar calls India a \'rogue state\': ""India is now becoming the bully for the entire r\xe2\x80\xa6'"
darycool,2020-02-29 05:09:58,"b""RT @Rezhasan: Senator, I can understand your desire to score points for a domestic constituency. But the thing is you aren't on the streets\xe2\x80\xa6"""
m_Abubakr11,2020-02-29 05:09:58,b'RT @SHABAZGIL: BBC World explaining painful situation in Delhi India   https://t.co/5zj1o0rNFX'
RakshithBJ2,2020-02-29 05:09:58,b'RT @WisdenCricket: Southee reaps the rewards of some lovely bowling. Draws Rahane forward with a tempting fullish delivery that then tails\xe2\x80\xa6'
sudeepreddy350,2020-02-29 05:09:59,b'RT @DesiCryptoHodlr: This Month\n\n\xf0\x9f\x94\xb9Tech Mahindra &amp; Telangana launch blockchain accelerator\n\n\xf0\x9f\x94\xb9WazirX completes Indias 1st IEO\n\n\xf0\x9f\x94\xb9Govt plans Bl\xe2\x80\xa6'
HirayYashwant,2020-02-29 05:09:59,"b'RT @majorgauravarya: The killings in Delhi are heartbreaking. But in a bid to be seen as strongman of the Islamic world, Erdogan talks only\xe2\x80\xa6'"
IndianBAdAss0,2020-02-29 05:09:59,"b'RT @ByRakeshSimha: In New Zealand schools, Muslim students are blasting India and telling teachers and White students that Hindus have unle\xe2\x80\xa6'"
raja_ammar,2020-02-29 05:09:59,"b'RT @VishalDadlani: #AAP started out as people criticising a government that was wrong.\n\nMost #AAP supporters are still those people, &amp; stil\xe2\x80\xa6'"
Sandhya77513809,2020-02-29 05:09:59,"b'RT @nilanjanaroy: ""Modi is yet to visit the families of those who bore the brunt of his political animus and shall continue to live in fear\xe2\x80\xa6'"
Avicenna911,2020-02-29 05:09:59,b'@mahwashajaz_ @fawadchaudhry @ImranKhanPTI I mean why do you need a comparison with india when it comes to rights o\xe2\x80\xa6 https://t.co/qh3uNFI8D2'
Uday_Kshirsagar,2020-02-29 05:09:59,b'@D_Tarczynski That\xe2\x80\x99s exactly how a true nationalist speaks! Love you country and keep it safe.\nJump over the fence\xe2\x80\xa6 https://t.co/Kth6GzcTyw'
PawanistArjun,2020-02-29 05:09:59,b'RT @Imdhirajkumaar: #SarileruNeekevvaru &amp; #50DaysOfBBSLN Are Now Trending In India \xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xf0\x9f\x91\x8d\xf0\x9f\x94\xa5 https://t.co/MghZpFW17u'
Pksingh52713272,2020-02-29 05:09:59,b'RT @davidfrawleyved: Anti-CAA logic: Oppressed Hindu migrants from Pakistan who come in legally should receive no special help. Muslim migr\xe2\x80\xa6'
yaxhiii,2020-02-29 05:09:59,"b'Ye haarega pakka, save this tweet'"
Anil71065720,2020-02-29 05:10:00,"b""RT @iamrana: Delhi riots: 'Hero cop' who braved a mob to save lives - \n\n\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c https://t.co/l30fDFxC0D"""
scroll_in,2020-02-29 05:10:00,"b""VP Menon: Was the man who charmed the princes really the architect of modern India? https://t.co/c9YgM8rwOu \n\n'Read\xe2\x80\xa6 https://t.co/IWwRkYN8Ok"""
jimeatonmd,2020-02-29 05:10:00,b'RT @asmauddinesq: Shooting and looting in India is the definition of a pogrom https://t.co/lOR6pPJtHL'
HospitalVishesh,2020-02-29 05:10:00,"b'An estimated 70 million patients in India suffer from a rare disease, an alarming statistic of 1 in every 20 Indian\xe2\x80\xa6 https://t.co/10oKm3FpMj'"
Ipshita_sen98,2020-02-29 05:09:59,"b""RT @DellTechIndia: It's time for panel discussion!\n@ripudsb, Director &amp; General Manager- Data Protection Solutions, India, Dell Technologie\xe2\x80\xa6"""
